#,FECHA,MES,A—O,HORA,CAUSAS DE SINIESTRO,TIPOLOGIA,FALLECIDOS,LESIONADOS,ZONA,TIPO ZONA,PARROQUIA,CIRCUITO,TIPO DE VEH√çCULO,TIPO VEH√çCULO 2,TIPO VEH√çCULO 2 2,DIRECCI”N,GRUPO,LATITUD,LONGITUD,# PARTE,DIA
2995,12/2/2017,FEBRERO,2017,9:02,MAL ESTADO DE LA VÕA ,PERDIDA DE PISTA ,1,0,S/D,RURAL,SAYAUSÕ,S/D,,S/D,S/D,VIA A BELLAVISTA SECTOR MINAS,A,-2.869822,-79.073112,19749,DOMINGO
2996,12/2/2017,FEBRERO,2017,11:27,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO A VEH√çCULOS ,CHOQUE LATERAL,1,0,S/D,URBANO,TOTORACOCHA,S/D,,BICICLETA,S/D,GIL RAMIREZ DAVALOS Y LADERAS,A,-2.885033,-78.983609,19748,DOMINGO
3009,17/2/2017,FEBRERO,2017,1:35,PRESENCIA DE AGENTES EXTERNOS EN LA VÕA,ESTRELLAMIENTO,1,0,NORTE,URBANO,CHECA,S/D,,S/D,S/D,ALTOS DE MACHANGARA - OCHOA LE”N,B,-2.83337,-78.984818,19800,VIERNES
3017,21/2/2017,FEBRERO,2017,23:26,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,URBANO,EL BATAN ,S/D,,S/D,S/D,AV. AMERICAS Y AGUST√çN CUESTA,A,-2.900644,-79.027988,19835,MARTES
3023,23/2/2017,FEBRERO,2017,10:08,MAL ESTADO DE LA VÕA ,ARROLLAMIENTO,1,0,SUR,RURAL,CUMBE,S/D,,S/D,S/D,VIA A ANGALOMA SECTOR EL CISNE,B,-3.088478,-79.013432,19858,JUEVES
3034,26/2/2017,FEBRERO,2017,8:32,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,NORTE,URBANO,EL SAGRARIO,S/D,,S/D,S/D,VEGA MU—OZ Y HERMANO MIGUEL,A,-2.893515,-79.0001185,19897,DOMINGO
3066,17/3/2017,MARZO,2017,15:57,DEJAR O RECOGER PASAJEROS EN LUGARES NO PERMITIDOS,CAÕDA DE PASAJERO,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,GIL RAMIREZ DAVALOS Y HEROES DE VERDELOMA,D,-2.891899,-78.995514,20123,VIERNES
3077,22/3/2017,MARZO,2017,8:04,CASOS FORTUITOS,PERDIDA DE PISTA ,1,0,NORTE,RURAL,CHECA,S/D,,S/D,S/D,VIA A SAYMIRIN ,C,-2.803709,-79.009082,20175,MIERCOLES
3114,8/4/2017,ABRIL,2017,8:53,PRESENCIA DE AGENTES EXTERNOS EN LA VÕA,ATÕPICO,2,0,NORTE,URBANO,MACHANGARA,S/D,CAMIONETA,S/D,S/D,PANAMERICANA NORTE KM 12,C,-2.877366,-78.944336,#N/D,SABADO
3133,13/4/2017,ABRIL,2017,21:05,EXCESO DE VELOCIDAD,ATROPELLO,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,,S/D,S/D,10 DE AGOSTO Y FRANCISCO MOSCOSO,A,-2.912975,-79.001189,20470,JUEVES
3154,22/4/2017,ABRIL,2017,5:17,EL CONDUCTOR QUE SE ESTACIONE EN SITIOS QUE ENTRA√ëEN PELIGRO,ESTRELLAMIENTO,1,0,SUR,URBANO,EL BATAN ,S/D,MOTOCICLETA,CAMI”N,S/D,GENERAL ESCANDON Y NICANOR COBOS,B,-2.895447,-79.028712,#N/D,SABADO
3189,7/5/2017,MAYO,2017,12:57,NO GUARDAR LA DISTANCIA LATERAL ENTRE VEH√çCULOS,ARROLLAMIENTO,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,OMNIBUS,BICICLETA,S/D,12 DE ABRIL Y 27 DE FEBRERO,D,-2.9157324,-79.0096145,20824,DOMINGO
3196,10/5/2017,MAYO,2017,18:14,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,NORTE,URBANO,EL VECINO,S/D,OMNIBUS,BICICLETA,S/D,GIL RAMIREZ DAVALOS Y CHAPETONES,B,-2.890334,-78.990254,20853,MIERCOLES
3208,16/5/2017,MAYO,2017,18:30,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,S/D,URBANO,SAYAUSÕ,S/D,CAMIONETA,AUTOMOVIL,S/D,ORDO—EZ LASSO -ENTRADA A SAN MIGUEL DE PUTUSHI,A,-2.883495,-79.055522,20945,MARTES
3232,26/5/2017,MAYO,2017,13:45,DA—OS MEC¡NICOS,VOLCAMIENTO,2,0,SUR,RURAL,CHAUCHA ,S/D,CAMIONETA,S/D,S/D,VIA A SAN PEDRO DE ZHIN ALTO,C,-2.5875123,-79.410769,#N/D,VIERNES
3237,27/5/2017,MAYO,2017,23:21,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,4,SUR,URBANO,HUAYNA CAPAC,S/D,JEEP,S/D,S/D,24 DE MAYO Y HERN√ÅN MALO,A,-2.917886,-79.001295,21171,SABADO
3264,6/6/2017,JUNIO,2017,12:34,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,VOLQUETA,S/D,S/D,RICARDO DURAN Y PANAMERICANA SUR,D,-2.922798,-79.038839,21333,MARTES
3315,24/6/2017,JUNIO,2017,18:10,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,RICARDO DURAN ENTRE JUAN DE DIOS MORALES Y PEDRO VICENTE MALDONADO,C,-2.92327,-79.040727,21690,SABADO
3361,13/7/2017,JULIO,2017,15:40,IMPRUDENCIA DEL PEATON,ARROLLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,AV. AM…RICAS Y PASEO MILCHICHIG,B,-2.90959,-79.019098,21983,JUEVES
3369,15/7/2017,JULIO,2017,3:44,EXCESO DE VELOCIDAD,ATROPELLO,1,0,SUR,RURAL,BA—OS,S/D,,S/D,S/D,VIA A HUIZHIL,A,-2.905274,-79.049308,22022,SABADO
3370,16/7/2017,JULIO,2017,17:30,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,S/D,RURAL,SANTA ANA,S/D,,S/D,S/D,VIA A SANTA ANA -TEPAL,A,-2.936547,-78.92006,22055,DOMINGO
3425,11/8/2017,AGOSTO,2017,18:51,MAL ESTADO DE LA VÕA ,PERDIDA DE PISTA ,2,2,S/D,RURAL,SININCAY,S/D,,S/D,S/D,VIA AL BARRIO NUEVO HORIZONTE ,C,-2.85897,-79.005303,22488,VIERNES
3521,27/9/2017,SEPTIEMBRE,2017,8:58,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,PERDIDA DE PISTA ,1,1,NORTE,URBANO,MACHANGARA,S/D,,S/D,S/D,AV. AMERICAS Y 24 DE MAYO,D,-2.893,-78.961055,23313,MIERCOLES
3533,30/9/2017,SEPTIEMBRE,2017,17:02,DA—OS MEC¡NICOS,CAÕDA DE PASAJERO,1,0,SUR,URBANO,EL BATAN ,S/D,,S/D,S/D,ESPA—A Y HURTADO DE MENDOZA,B,-2,883239,-78,977321,23401,SABADO
3540,3/10/2017,OCTUBRE,2017,19:12,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,S/D,RURAL,CHIQUINTAD,S/D,,S/D,S/D,VIA A CHIQUINTAD SECTOR SAN ANDRES,B,-2813268,-79002516,23454,MARTES
3563,13/10/2017,OCTUBRE,2017,19:00,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,URBANO,EL BATAN ,S/D,,S/D,S/D,EDWIN SACOTO Y VERDAD,C,-2.897126,-79.023694,#N/D,VIERNES
3569,14/10/2017,OCTUBRE,2017,18:59,NO MANTENER LA DISTANCIA CON EL VEH√çCULO QUE LE ANTECEDE,ESTRELLAMIENTO,2,0,S/D,URBANO,SAN SEBASTIAN,S/D,,S/D,S/D,ORDO—EZ LASSO Y HORNOS,C,-2.884291,-79.053255,#N/D,SABADO
3595,23/10/2017,OCTUBRE,2017,8:24,CONDUCIR EN ESTADO DE SOMNOLENCIA,ESTRELLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,10 DE AGOSTO Y LOJA,B,-2.90469,-79.025003,23866,LUNES
3616,29/10/2017,OCTUBRE,2017,11:40,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,0,NORTE,RURAL,SAN JOAQUIN,S/D,,S/D,S/D,VIA A BARABON -SOLDADOS,D,-2.922222,-79.091389,23982,DOMINGO
3667,13/11/2017,NOVIEMBRE,2017,14:15,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,ESTRELLAMIENTO,1,0,S/D,RURAL,TURI,S/D,,S/D,S/D,VIA A SAN PEDRO DE AGUA SANTA,C,-2.93475,-79.005573,24249,LUNES
3674,15/11/2017,NOVIEMBRE,2017,15:46,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,ATROPELLO,1,0,S/D,URBANO,SAN SEBASTIAN,S/D,,S/D,S/D,BOLIVAR Y BARTOLOME SERRANO,C,-2.894553,-73.016673,24285,MIERCOLES
3856,25/1/2018,ENERO,2018,5:58,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ESTRELLAMIENTO,1,3,NORTE,URBANA,MACHANGARA,MACHANGARA,AUTOMOVIL,S/D,S/D,PANAMERICANA NORTE -ENTRADA A PETROECUADOR,D,-2.842569,-78.895111,25686,JUEVES
3860,26/1/2018,ENERO,2018,20:09,PRESENCIA DE AGENTES EXTERNOS EN LA VÕA,ESTRELLAMIENTO,1,0,SUR,URBANA,HUAYNA CAPAC,HUAYNA CAPAC,CAMIONETA,S/D,S/D,LUIS MORENO MORA Y MIGUEL MORENO,A,-2.910070,-79.005950,25724,VIERNES
3906,11/2/2018,FEBRERO,2018,9:52,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,SUR,URBANA,SUCRE,SUCRE,,S/D,S/D,10 DE AGOSTO Y SOLANO,B,-2.910946,-79.008927,26044,DOMINGO
3907,11/2/2018,FEBRERO,2018,11:02,EXCESO DE VELOCIDAD,ESTRELLAMIENTO,1,0,SUR,URBANA,YANUNCAY,YANUNCAY,,S/D,S/D,AV. AM…RICAS,B,-2.9230645,-79.0389215,26045,DOMINGO
3913,14/2/2018,FEBRERO,2018,9:39,CASOS FORTUITOS,ARROLLAMIENTO,1,0,SUR,URBANA,YANUNCAY,NARANCAY,,S/D,S/D,AV. AM…RICAS Y DON BOSCO,A,-2.911554   ,-79.035957,26096,MIERCOLES
3933,24/2/2018,FEBRERO,2018,18:42,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,3,SUR,RURAL,CHAUCHA ,CHAUCHA,,S/D,S/D,VIA A CHAUCHA SECTOR VENTANAS,B,-2.950932,-79.234459,26251,SABADO
3948,4/3/2018,MARZO,2018,5:30,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,PERDIDA DE PISTA ,1,0,SUR,URBANA,SAN SEBASTIAN,CAYAMBE,,S/D,S/D,AV. AM…RICAS Y GRAN COLOMBIA,C,-2.891385,-79.024661,,DOMINGO
4076,18/4/2018,ABRIL,2018,9:49,EXCESO DE VELOCIDAD,CHOQUE FRONTAL,1,2,SUR,RURAL,EL VALLE,EL VALLE,,S/D,S/D,VÕA A EL VALLE - SANTA ANA,A,-2.936547   ,-78.920060,27005,MIERCOLES
4098,1/5/2018,MAYO,2018,14:50,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,URBANA,SAN SEBASTIAN,CAYAMBE,,S/D,S/D,ORDO—EZ LASSO Y CLAVELES,A,-2.889148,-79.033212,27190,MARTES
4166,25/5/2018,MAYO,2018,19:52,EXCESO DE VELOCIDAD,ATROPELLO,1,1,SUR,URBANA,HUAYNA CAPAC,HUAYNA CAPAC,,S/D,S/D,12 DE ABRIL Y ARIRUMBA,C,-2.909127,-78.997528,27575,VIERNES
4176,28/5/2018,MAYO,2018,15:40,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,NORTE,URBANA,TOTORACOCHA,TOTORACOCHA,,S/D,S/D,ALLCUQUIRO Y LA CORDILLERA,B,-2.894569,-78.9823,27643,LUNES
4224,13/6/2018,JUNIO,2018,16:30,EXCESO DE VELOCIDAD,ATROPELLO,1,0,NORTE,URBANA,BELLAVISTA,VERDE LOMA,,S/D,S/D,AV. AMERICAS Y ANTONIO FARFAN ,B,-2.885764,-78.998281,27888,MIERCOLES
4254,20/6/2018,JUNIO,2018,19:41,EMBRIAGUEZ DEL PEAT”N,ATROPELLO,1,0,NORTE,URBANA,BELLAVISTA,BELLAVISTA,,S/D,S/D,ABERLARDO J ANDRADE Y  SN,A,-2.858278,-79.038701,27977,MIERCOLES
4294,5/7/2018,JULIO,2018,6:06,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,SUR,RURAL,EL VALLE,EL VALLE,,S/D,S/D,VIA SAN ISIDRO - EL VALLE,B,-2.937999,-78.987408,28183,JUEVES
4352,28/7/2018,JULIO,2018,10:44,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,1,SUR,URBANA,SUCRE,SUCRE,MOTOCICLETA,S/D,S/D,GASPAR SANGURIMA Y LUIS CORDERO ,D,-2.894019,-79.003346,28598,SABADO
4356,30/7/2018,JULIO,2018,12:17,EXCESO DE VELOCIDAD,ATROPELLO,1,0,SUR,RURAL,EL VALLE,EL VALLE,N/i,S/D,S/D,CARMEN DE BAGUANCHI -EL VALLE,D,-2.920908,-78.954097,28561,LUNES
4369,4/8/2018,AGOSTO,2018,0:33,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,PERDIDA DE PISTA ,1,1,NORTE,URBANA,HERMANO MIGUEL,HERMANO MIGUEL,,S/D,S/D,VÕA A OCHOA LEON ,D,-2.858364,-78.985044,S/G,SABADO
4409,19/8/2018,AGOSTO,2018,20:43,EXCESO DE VELOCIDAD,CHOQUE FRONTAL,1,1,SUR,RURAL,SANTA ANA,SANTA ANA,,S/D,S/D,VIA A SANTA ANA -QUINGEO,A,-2,968295,-78,900686,S/G,DOMINGO
4423,25/8/2018,AGOSTO,2018,19:33,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,PERDIDA DE PISTA ,1,1,SUR,RURAL,TURI,TURI,,S/D,S/D,VIA A TARQUI ‚Äì TURI ENTRADA A LA ASCENCI√ìN,D,-2.942743,-79.003498,S/G,SABADO
4433,1/9/2018,SEPTIEMBRE,2018,3:01,EXCESO DE VELOCIDAD,ATROPELLO,1,0,NORTE,URBANA,SAN SEBASTIAN,CAYAMBE,,S/D,S/D,AV. AM…RICAS Y DANIEL ALVARADO,A,-2.888753,-79,016332,28996,SABADO
4440,3/9/2018,SEPTIEMBRE,2018,14:39,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,NORTE,URBANA,BELLAVISTA,VERDE LOMA,,S/D,S/D,AV. AMERICAS Y GUILLERMO MEDINA,B,-2.888902,"-79.019038	",28996,LUNES
4477,22/9/2018,SEPTIEMBRE,2018,9:38,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,0,SUR,RURAL,QUINGEO,QUINGEO,,S/D,S/D,VIA QUINGEO - MACAS Y GUALLANZHAPA,B,-3.0356742568611845,-78.95392361372467,EMOV EP-GCT-2018-000056-JUD,SABADO
4534,8/10/2018,OCTUBRE,2018,20:28,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ESTRELLAMIENTO,1,0,NORTE,URBANA,EL SAGRARIO,EL SAGRARIO,,S/D,S/D,GASPAR SANGURIMA Y VARGAS MACHUCA,A,-2.8948657936912623,-78.99955293337825,EMOV EP-GCT-2018-000453-JUD,LUNES
4594,26/10/2018,OCTUBRE,2018,23:17,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,0,SUR,RURAL,VICTORIA DEL PORTETE ,VICTORIA DEL PORTETE,,S/D,S/D,VIA PRINCIPAL DE LA PARROQUIA VICTORIA DEL PORTETE Y  SIN NOMBRE,D,-3.0639376662084317,-79.06640353944573,EMOV EP-GCT-2018-001090-JUD,VIERNES
4600,28/10/2018,OCTUBRE,2018,21:20,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,ARROLLAMIENTO,1,0,SUR,RURAL,BA—OS,BA—OS,,S/D,S/D,ALFONSO CARRION HEREDIA,D,-2.9264760377552506,-79.0681210942297,EMOV EP-GCT-2018-001186-JUD,DOMINGO
4630,11/11/2018,NOVIEMBRE,2018,14:37,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,1,SUR,RURAL,TARQUI,TARQUI,,S/D,S/D,VIA A TUTUPALI CHICO Y VIA A TUTUPALI CHICO,A,-2.9725724210543967,-79.05885953984625,EMOV EP-GCT-2018-001614-JUD,DOMINGO
4657,21/11/2018,NOVIEMBRE,2018,10:14,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,2,SUR,URBANA,SUCRE,SUCRE,,S/D,S/D,ALFONSO MORENO MORA  Y EZEQUIEL MARQUEZ,C,-2.90647680725411,-79.01872801277779,EMOV EP-GCT-2018-001944-JUD,MIERCOLES
4682,29/11/2018,NOVIEMBRE,2018,19:23,IMPRUDENCIA DEL PEATON,CAÕDA DE PASAJERO,1,0,NORTE,RURAL,PACCHA,PACCHA Y NULTI,,S/D,S/D,VIA A JADAN Y  SIN NOMBRE,D,-2.846707759192440,-78.8808174425634,EMOV EP-GCT-2018-002182-JUD,JUEVES
4739,21/12/2018,DICIEMBRE,2018,3:09,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,SUR,URBANA,YANUNCAY,NARANCAY,,S/D,S/D,AV. LOJA Y AV. PRIMERO DE MAYO,B,-2.9072696709855275,-79.02653042636979,EMOV EP-GCT-2018-002921-JUD,VIERNES
4763,30/12/2018,DICIEMBRE,2018,18:12,CAUSAS DESCONOCIDAS,ATROPELLO,1,0,NORTE,RURAL,RICAURTE ,RICAURTE,,S/D,S/D,VIA RICAURTE - EL GUABO Y  DE TIERRA,D,-2.848885935765872,-78.96518438607472,EMOV EP-GCT-2018-003183-JUD,DOMINGO
4771,1/1/2019,ENERO,2019,21:11,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ESTRELLAMIENTO,1,1,NORTE,RURAL,SAYAUSÕ,SAYAUSÕ,,S/D,S/D, DEL CULANTRO ,D,-2.87213581,-79.06837425,EMOV EP-GCT-2019-000020-JUD,MARTES
4776,5/1/2019,ENERO,2019,13:08,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ESTRELLAMIENTO,1,0,NORTE,RURAL,CHECA,CHECA,,S/D,S/D,VIA A CHECA Y  FACTE,D,-2.80402994,-78.99228706,EMOV EP-GCT-2019-000141-JUD,SABADO
4793,10/1/2019,ENERO,2019,22:37,EMBRIAGUEZ DEL PEAT”N,ARROLLAMIENTO,1,0,SUR,URBANA,EL BATAN ,EL BATAN,,S/D,S/D, MANUELA GARAICOA DE CALDERON Y SECTOR LA FLORIDA,A,-2.89954379,-79.03981838,EMOV EP-GCT-2019-000314-JUD,JUEVES
4795,12/1/2019,ENERO,2019,3:00,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ROZAMIENTO,1,0,SUR,URBANA,EL BATAN ,EL BATAN,,S/D,S/D,AV. AMERICAS Y EL BATAN ,D,-2.89570604,-79.02510377,EMOV EP-GCT-2019-000366-JUD,SABADO
4818,27/1/2019,ENERO,2019,0:12,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ESTRELLAMIENTO,1,0,NORTE,URBANA,SAN BLAS,SAN BLAS,,S/D,S/D,GARC√çA MORENO Y PRESIDENTE  ROCAFUERTE,A,-2.89707483,-78.99373419,EMOV EP-GCT-2019-000876-JUD,DOMINGO
4831,31/1/2019,ENERO,2019,14:19,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,0,NORTE,URBANA,BELLAVISTA,BELLAVISTA,,S/D,S/D,ALEJANDRO VOLTAY GAY LUSSAC,D,-2.88066191,-79.00281967,EMOV EP-GCT-2019-001021-JUD,JUEVES
4875,17/2/2019,FEBRERO,2019,19:41,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,ARROLLAMIENTO,1,0,SUR,RURAL,EL VALLE,EL VALLE,,S/D,S/D,VIA A PAREDONES DEL VALLE ,D,-2.96120164,-78.93173129,EMOV EP-GCT-2019-001621-JUD,DOMINGO
4907,4/3/2019,MARZO,2019,15:02,DEJAR O RECOGER PASAJEROS EN LUGARES NO PERMITIDOS,CAÕDA DE PASAJERO,1,0,NORTE,RURAL,SAN JOAQUIN,SAN JOAQUIN,,S/D,S/D,VIA SOLDADOS,  Y BARRIO BARABON GRANDE, ,D,-2.92687142,-79.09907969,EMOV EP-GCT-2019-002061-JUD,LUNES
4931,13/3/2019,MARZO,2019,3:40,EMBRIAGUEZ DEL PEAT”N,ATROPELLO,1,0,NORTE,URBANA,MACHANGARA,MACHANGARA,,S/D,S/D,PARQUEADERO EMPRESA DURAGAS  Y PANAMERICANA NORTE KM 13 ,A,-2.84477798,-78.89563473,EMOV EP-GCT-2019-002307-JUD,MIERCOLES
4964,29/3/2019,MARZO,2019,20:43,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,URBANA,MONAY,MONAY,,S/D,S/D,VIA MONAY-BAGUANCHI PACCHA Y VIA MONAY-BAGUANCHI PACCHA,B,-2.91108793,-78.94843322,EMOV EP-GCT-2019-002773-JUD,VIERNES
4988,6/4/2019,ABRIL,2019,18:29,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,URBANA,SAN SEBASTIAN,SAN SEBASTIAN,,S/D,S/D,AV. DE LAS AMERICAS Y MARISCAL LAMAR,D,-2.88938891,-79.02232565,EMOV EP-GCT-2019-003096-JUD,SABADO
5043,1/5/2019,MAYO,2019,21:15,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,SUR,RURAL,CUMBE,CUMBE,,S/D,S/D,SAN ANTONIO DE CUMBE Y .,B,-3.13771661,-79.0191066479544,EMOV EP-GCT-2019-003985-JUD,MIERCOLES
5048,4/5/2019,MAYO,2019,21:20,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,CHOQUE LATERAL,2,3,NORTE,URBANA,BELLAVISTA,BELLAVISTA,,S/D,S/D,LUIS CORDERO Y TOMAS DE HERES,A,-2.88565441,-79.00238063,EMOV EP-GCT-2019-004089-JUD,SABADO
5101,26/5/2019,MAYO,2019,14:12,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,CHOQUE FRONTAL,1,0,SUR,RURAL,EL VALLE,EL VALLE,,S/D,S/D,VIA A QUILLOPUNGO Y SIN NOMBRE,D,-2.95099584,-78.96970808,EMOV EP-GCT-2019-004870-JUD,DOMINGO
5102,26/5/2019,MAYO,2019,18:37,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,NORTE,URBANA,EL VECINO,EL VECINO,,S/D,S/D,AV. AM…RICAS Y LAS LADERAS,D,-2.88177691,-78.98490403,EMOV EP-GCT-2019-004880-JUD,DOMINGO
5116,2/6/2019,JUNIO,2019,3:05,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,PERDIDA DE PISTA ,1,0,SUR,URBANA,EL BATAN ,EL BATAN,,S/D,S/D,ARGENTINA Y BOLIVIA,A,-2.90248968,-79.02342446,EMOV EP-GCT-2019-005145-JUD,DOMINGO
5121,7/6/2019,JUNIO,2019,18:35,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ARROLLAMIENTO,1,0,NORTE,RURAL,SAYAUSÕ,SAYAUSÕ,,S/D,S/D,VIA A SAYAUSI,A,-2.87205115,-79.0755701,EMOV EP-GCT-2019-005378-JUD,VIERNES
5159,26/6/2019,JUNIO,2019,20:11,EXCESO DE VELOCIDAD,CHOQUE FRONTAL,1,0,NORTE,RURAL,SININCAY,SININCAY,,S/D,S/D,VÕA  SININCAY Y SIN NOMBRE,D,-2.86682135,-79.00615024,EMOV EP-GCT-2019-006207-JUD,MIERCOLES
5160,26/6/2019,JUNIO,2019,21:14,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,PERDIDA DE PISTA ,1,4,SUR,RURAL,BA—OS,BA—OS,,S/D,S/D,AV. RICARDO DURAN Y ALFONSO CARRION,D,-2.92045859,-79.06529735,EMOV EP-GCT-2019-006208-JUD,MIERCOLES
5166,30/6/2019,JUNIO,2019,1:06,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,ESTRELLAMIENTO,1,0,NORTE,URBANA,SAN BLAS,SAN BLAS,,S/D,S/D,JUAN JOSE FLORES Y GARCIA MORENO,B,-2.90034524,-78.99442477,EMOV EP-GCT-2019-006353-JUD,DOMINGO
5192,12/7/2019,JULIO,2019,12:09,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,SUR,URBANA,MONAY,MONAY,,S/D,S/D,POPAYAN Y CUZCO,A,-2.89726684,-78.96912038,EMOV EP-GCT-2019-006881-JUD,VIERNES
5250,4/8/2019,AGOSTO,2019,4:23,EXCESO DE VELOCIDAD,ESTRELLAMIENTO,1,0,SUR,RURAL,SAN JOAQUIN,SAN SEBASTIAN,,S/D,S/D,VÕA A SOLDADOS,A,-2.90154581,-79.07510858,EMOV EP-GCT-2019-007887-JUD,DOMINGO
5260,7/8/2019,AGOSTO,2019,3:16,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,PERDIDA DE PISTA ,1,1,SUR,URBANA,YANUNCAY,YANUNCAY,,S/D,S/D,AV. AM…RICAS Y PRIMERO DE MAYO,A,-2.90675182,-79.03346681,EMOV EP-GCT-2019-007989-JUD,MIERCOLES
5266,11/8/2019,AGOSTO,2019,7:19,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,NORTE,URBANA,TOTORACOCHA,TERMINAL TERRESTRE,,S/D,S/D,CASTELLANA Y GERONA ,A,-2.89229227,-78.99039754,EMOV EP-GCT-2019-008191-JUD,DOMINGO
5276,16/8/2019,AGOSTO,2019,2:46,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,NORTE,RURAL,LLACAO,LLACAO,,S/D,S/D,PANAMERICANA NORTE Y ENTRADA ZHIQUIR,B,-2.84736315,-78.91632746,EMOV EP-GCT-2019-008371-JUD,VIERNES
5278,18/8/2019,AGOSTO,2019,1:45,NO MANTENER LA DISTANCIA CON EL VEH√çCULO QUE LE ANTECEDE,CHOQUE POR ALCANCE,1,0,NORTE,URBANA,HERMANO MIGUEL,HERMANO MIGUEL,,S/D,S/D,JAVIER MALDONADO Y UNIVERSIDAD DEL AZUAY,D,-2.86212539,-78.9817655,EMOV EP-GCT-2019-008474-JUD,DOMINGO
