#,FECHA,MES,A—O,HORA,CAUSAS DE SINIESTRO,TIPOLOGIA,FALLECIDOS,LESIONADOS,ZONA,TIPO ZONA,PARROQUIA,CIRCUITO,TIPO DE VEH√çCULO,TIPO VEH√çCULO 2,TIPO VEH√çCULO 2 2,DIRECCI”N,GRUPO,LATITUD,LONGITUD,# PARTE,DIA
548,15/5/2014,MAYO,2014,15:44,IMPRUDENCIA DEL PEATON,ARROLLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,OMNIBUS,S/D,S/D,AV. AMERICAS Y CARLOS ARIZAGA,S/G,-2.899640,-79.027043,3774,JUEVES
595,26/5/2014,MAYO,2014,13:45,DA—OS MEC¡NICOS,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,LOJA Y PICHINCHA,S/G,-2.305456,-79.288859,3865,LUNES
696,18/6/2014,JUNIO,2014,19:01,CONDUCIR EN SENTIDO CONTRARIO A LA VÕA,CHOQUE FRONTAL,1,0,S/D,RURAL,SAN SEBASTIAN,S/D,ESPECIAL,S/D,S/D,VÕA A SANTA ANA,S/G,-2.893814,-79.01144,4137,MIERCOLES
758,3/7/2014,JULIO,2014,15:07,EXCESO DE VELOCIDAD,CHOQUE LATERAL,1,0,S/D,URBANO,YANUNCAY,S/D,AUTOMOVIL,MOTOCICLETA,S/D,BARRIAL BLANCO Y CARRETAS,S/G,-2.913102,-79.036778,4386,JUEVES
849,27/7/2014,JULIO,2014,2:55,EXCESO DE VELOCIDAD,ATROPELLO,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,PANAMERICANA SUR KM9,S/G,-2.888917,-78.991825,4746,DOMINGO
953,31/8/2014,AGOSTO,2014,14:45,IMPRUDENCIA DEL PEATON,ARROLLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,OMNIBUS,S/D,S/D,GONZALES SUAREZ Y GABRIELA MISTRAL ,S/G,-2.931984,-79.043803,5145,DOMINGO
956,2/9/2014,SEPTIEMBRE,2014,7:58,CASOS FORTUITOS,ESTRELLAMIENTO,1,1,NORTE,URBANO,BELLAVISTA,S/D,AUTOMOVIL,S/D,S/D,PANAMERICANA SUR Y VIA A NARANCAY,S/G,-2.911231,-79.039389,5153,MARTES
1020,19/9/2014,SEPTIEMBRE,2014,22:39,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,ATROPELLO,1,0,SUR,RURAL,HUAYNA CAPAC,S/D,AUTOMOVIL,S/D,S/D,ORDO—EZ LASSO -FERRE EL JURI ,S/G,-2.901463,-78.994490,5368,VIERNES
1057,3/10/2014,OCTUBRE,2014,18:05,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,AUTOMOVIL,OMNIBUS,S/D,12 DE ABRIL Y ARIRUMBA,S/G,-2.897771,-79.0135693,5541,VIERNES
1062,4/10/2014,OCTUBRE,2014,17:00,DA—OS MEC¡NICOS,PERDIDA DE PISTA ,1,0,NORTE,RURAL,CHECA,S/D,AUTOMOVIL,S/D,S/D,VIA A SANTA ROSA ,S/G,-2.826648,-78.981472,5563,SABADO
1065,4/10/2014,OCTUBRE,2014,12:25,DA—OS MEC¡NICOS,ESTRELLAMIENTO,1,0,NORTE,URBANO,MACHANGARA,S/D,AUTOMOVIL,S/D,S/D,AV. AMERICAS Y PANAMERICANA SUR,S/G,-2.922798,-79.038839,5582,SABADO
